sku,date,units_sold,current_stock
SKU-001,2026-08-01,12,40
SKU-001,2026-08-02,15,40
SKU-001,2026-08-03,10,40
SKU-001,2026-08-04,18,40
SKU-001,2026-08-05,14,40
SKU-001,2026-08-06,20,40
SKU-001,2026-08-07,22,40
SKU-001,2026-08-08,19,40
SKU-001,2026-08-09,25,40
SKU-001,2026-08-10,28,40
SKU-002,2026-08-01,3,120
SKU-002,2026-08-02,2,120
SKU-002,2026-08-03,4,120
SKU-002,2026-08-04,1,120
SKU-002,2026-08-05,3,120
SKU-002,2026-08-06,2,120
SKU-002,2026-08-07,3,120
SKU-002,2026-08-08,2,120
SKU-002,2026-08-09,1,120
SKU-002,2026-08-10,2,120
SKU-003,2026-08-01,50,60
SKU-003,2026-08-02,48,60
SKU-003,2026-08-03,55,60
SKU-003,2026-08-04,60,60
SKU-003,2026-08-05,58,60
SKU-003,2026-08-06,65,60
SKU-003,2026-08-07,70,60
SKU-003,2026-08-08,68,60
SKU-003,2026-08-09,72,60
SKU-003,2026-08-10,75,60
